Modulo,Nodo
4,GM Amygdala_centromedial group
4,GM Amygdala_superficial group
4,GM Inferior parietal lobule PFop
4,GM Mamillary body
4,GM Premotor cortex BA6
4,GM Primary somatosensory cortex BA1
4,GM Primary somatosensory cortex BA2
4,GM Primary somatosensory cortex BA3b
4,GM Secondary somatosensory cortex / Parietal operculum OP2
4,GM Superior parietal lobule 5Ci
4,GM Superior parietal lobule 7M
4,WM Cingulum
4,WM Fornix
4,WM Superior longitudinal fascicle
1,GM Amygdala_laterobasal group
1,GM Hippocampus cornu ammonis
1,GM Inferior parietal lobule PF
1,GM Inferior parietal lobule PGp
1,GM Inferior parietal lobule Pga
1,GM Primary auditory cortex TE1.1
1,GM Primary auditory cortex TE1.2
1,GM Primary motor cortex BA4a
1,GM Primary somatosensory cortex BA3a
1,GM Secondary somatosensory cortex / Parietal operculum OP3
1,GM Visual cortex V1 BA17
1,WM Callosal body
1,WM Uncinate fascicle
3,GM Anterior intra-parietal sulcus hIP1
3,GM Anterior intra-parietal sulcus hIP2
3,GM Broca's area BA44
3,GM Hippocampus subiculum
3,GM Inferior parietal lobule PFt
3,GM Insula Id1
3,GM Insula Ig2
3,GM Secondary somatosensory cortex / Parietal operculum OP1
3,GM Superior parietal lobule 5M
3,WM Acoustic radiation
3,WM Corticospinal tract
3,WM Optic radiation
0,GM Anterior intra-parietal sulcus hIP3
0,GM Broca's area BA45
0,GM Hippocampus entorhinal cortex
0,GM Primary auditory cortex TE1.0
0,GM Superior parietal lobule 7A
0,GM Superior parietal lobule 7P
0,GM Superior parietal lobule 7PC
0,GM Visual cortex V3V
0,GM Visual cortex V4
0,WM Superior occipito-frontal fascicle
2,GM Hippocampus dentate gyrus
2,GM Hippocampus hippocampal-amygdaloid transition area
2,GM Inferior parietal lobule PFcm
2,GM Inferior parietal lobule PFm
2,GM Insula Ig1
2,GM Lateral geniculate body
2,GM Medial geniculate body
2,GM Primary motor cortex BA4p
2,GM Secondary somatosensory cortex / Parietal operculum OP4
2,GM Superior parietal lobule 5L
2,GM Visual cortex V2 BA18
2,GM Visual cortex V5
2,WM Inferior occipito-frontal fascicle
